2026-07-10 06:47:04,017 [WARNING] ACK recibido pero contenido inesperado: ',12,0S1,28'
2026-07-10 06:47:04,047 [WARNING] ACK recibido pero contenido inesperado: ',240'
2026-07-10 06:47:04,075 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:04,104 [WARNING] ACK recibido pero contenido inesperado: ',25\rS102,2123,430,3,20,0'
2026-07-10 06:47:04,150 [WARNING] ACK recibido pero contenido inesperado: '3,0\rS3,3,0\rS123230'
2026-07-10 06:47:04,178 [WARNING] ACK recibido pero contenido inesperado: '6'
2026-07-10 06:47:04,209 [WARNING] ACK recibido pero contenido inesperado: '5,0'
2026-07-10 06:47:04,240 [WARNING] ACK recibido pero contenido inesperado: '8,'
2026-07-10 06:47:04,271 [INFO] Latencia E2E medida: τ_elec=1.43 ms, τ_mech=120.0 ms → E2E=121.4 ms
2026-07-10 06:47:04,297 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:04,330 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:04,357 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:04,391 [WARNING] ACK recibido pero contenido inesperado: 'S,035\x00'
2026-07-10 06:47:04,423 [WARNING] ACK recibido pero contenido inesperado: ',,210'
2026-07-10 06:47:04,451 [WARNING] ACK recibido pero contenido inesperado: ',23,20'
2026-07-10 06:47:04,481 [WARNING] ACK recibido pero contenido inesperado: ',0'
2026-07-10 06:47:04,517 [WARNING] ACK recibido pero contenido inesperado: ',03230S,,3,3,'
2026-07-10 06:47:04,554 [WARNING] ACK recibido pero contenido inesperado: ',,1,\rS12,2,'
2026-07-10 06:47:04,584 [WARNING] ACK recibido pero contenido inesperado: '26,0'
2026-07-10 06:47:04,623 [WARNING] ACK recibido pero contenido inesperado: '23,\rS120\rS123,223,0S12,2,0'
2026-07-10 06:47:04,661 [WARNING] ACK recibido pero contenido inesperado: '2,\rS123,0'
2026-07-10 06:47:04,691 [WARNING] ACK recibido pero contenido inesperado: '23,2,\r,0,34,0S,224,0'
2026-07-10 06:47:04,726 [WARNING] ACK recibido pero contenido inesperado: '2,'
2026-07-10 06:47:04,756 [WARNING] ACK recibido pero contenido inesperado: '23,47'
2026-07-10 06:47:04,785 [WARNING] ACK recibido pero contenido inesperado: '23,60'
2026-07-10 06:47:04,814 [WARNING] ACK recibido pero contenido inesperado: '223,0\rS,103,'
2026-07-10 06:47:04,885 [WARNING] ACK recibido pero contenido inesperado: '23,'
2026-07-10 06:47:04,919 [WARNING] ACK recibido pero contenido inesperado: '20\rS123,20,'
2026-07-10 06:47:04,950 [WARNING] ACK recibido pero contenido inesperado: ',3,238,0'
