rms_biceps,mav_biceps,wl_biceps,ZCR_biceps,rms_triceps,mav_triceps,wl_triceps,ZCR_triceps,rms_antebrazo,mav_antebrazo,wl_antebrazo,ZCR_antebrazo,angulo_codo,angulo_muneca,pct_mvc_rms_biceps,pct_mvc_rms_biceps_crudo,pct_mvc_mav_biceps,pct_mvc_mav_biceps_crudo,pct_mvc_wl_biceps,pct_mvc_wl_biceps_crudo,pct_mvc_ZCR_biceps,pct_mvc_ZCR_biceps_crudo,pct_mvc_rms_triceps,pct_mvc_rms_triceps_crudo,pct_mvc_mav_triceps,pct_mvc_mav_triceps_crudo,pct_mvc_wl_triceps,pct_mvc_wl_triceps_crudo,pct_mvc_ZCR_triceps,pct_mvc_ZCR_triceps_crudo,pct_mvc_rms_antebrazo,pct_mvc_rms_antebrazo_crudo,pct_mvc_mav_antebrazo,pct_mvc_mav_antebrazo_crudo,pct_mvc_wl_antebrazo,pct_mvc_wl_antebrazo_crudo,pct_mvc_ZCR_antebrazo,pct_mvc_ZCR_antebrazo_crudo,saturado_algun_canal
2.164346,1.746806,146.632163,29.0,64.377131,53.494769,7090.010526,49.0,0.841436,0.704533,74.768874,37.0,90.0,0.0,0.0,-1.299842143850766,0.0,-1.8765751012744973,0.0,-2.6156051479888873,1.4580191050779339,1.4580191050779339,0.0,-9.13426220051252,0.0,-8.874297809056792,0.0,-11.67484352104707,30.564166150031003,30.564166150031003,0.0,-1.9526238702114629,0.0,-2.9674059445783483,0.0,-4.01323272791996,28.399518652226234,28.399518652226234,False
2.112702,1.707281,148.447214,29.0,60.749888,50.737544,6781.642144,49.0,0.789731,0.662198,70.04865,37.0,90.0,0.0,0.0,-1.3551238829207561,0.0,-1.9472255416305553,0.0,-2.553800833199853,1.4580191050779339,1.4580191050779339,0.0,-11.023700059058315,0.0,-10.609299306074469,0.0,-13.64117273968797,30.564166150031003,30.564166150031003,0.0,-2.0922696598985144,0.0,-3.1717564631807407,0.0,-4.517700455797127,28.399518652226234,28.399518652226234,False
2.17266,1.727029,149.384469,29.0,58.886051,49.600197,6587.63928,48.0,0.783434,0.658621,69.921619,38.0,90.0,0.0,0.0,-1.290942516040606,0.0,-1.911926240020146,0.0,-2.5218863563848237,1.4580191050779339,1.4580191050779339,0.0,-11.994576338910095,0.0,-11.324982192900377,0.0,-14.878243471483094,13.205207687538753,13.205207687538753,0.0,-2.10927671023522,0.0,-3.189022597703967,0.0,-4.531276726741039,32.61131167268352,32.61131167268352,False
2.196541,1.760096,150.142195,27.0,59.152549,50.365315,6690.060117,49.0,0.813959,0.674208,68.180199,36.0,90.0,0.0,0.0,-1.2653793681293208,0.0,-1.85281939343561,0.0,-2.49608502285324,0.0,-7.926931456343215,0.0,-11.855757017892248,0.0,-10.84352678922633,0.0,-14.22515094920642,30.564166150031003,30.564166150031003,0.0,-2.0268342437388025,0.0,-3.113784342514277,0.0,-4.717388697418671,24.187725631768956,24.187725631768956,False
2.140318,1.683305,145.895564,27.0,60.898533,51.779916,6806.117888,50.0,0.836975,0.696075,67.754554,37.0,90.0,0.0,0.0,-1.3255626462590557,0.0,-1.9900823400613419,0.0,-2.6406870858899634,0.0,-7.926931456343215,0.0,-10.946270592523115,0.0,-9.953380046511208,0.0,-13.485101711059707,47.92312461252325,47.92312461252325,0.0,-1.9646722188778185,0.0,-3.0082326054107336,0.0,-4.762878946617073,28.399518652226234,28.399518652226234,False
2.173266,1.722546,146.819532,29.0,61.725171,52.966878,6868.753866,49.0,0.823512,0.683091,64.842348,35.0,90.0,0.0,0.0,-1.2902938301549969,0.0,-1.919939546133143,0.0,-2.6092250448084764,1.4580191050779339,1.4580191050779339,0.0,-10.515673267636808,0.0,-9.206476603047907,0.0,-13.085699694287605,30.564166150031003,30.564166150031003,0.0,-2.001033330309146,0.0,-3.070906211966384,0.0,-5.074117130213921,19.975932611311677,19.975932611311677,False
2.229955,1.786309,150.634906,28.0,61.862921,52.763799,6929.701337,49.0,0.817022,0.677941,60.724568,32.0,90.0,0.0,0.0,-1.2296117275653704,0.0,-1.8059639856417242,0.0,-2.4793077170122357,0.0,-3.2344561756326407,0.0,-10.443919027566684,0.0,-9.334265364941789,0.0,-12.697064542225972,30.564166150031003,30.564166150031003,0.0,-2.018561638501177,0.0,-3.095765197930771,0.0,-5.514199448446708,7.340553549939835,7.340553549939835,False
2.307104,1.865398,153.312489,27.0,63.837042,54.302263,7187.509478,49.0,0.774799,0.649247,58.079459,30.0,90.0,0.0,0.0,-1.147028448045762,0.0,-1.6645933929201489,0.0,-2.3881333188241047,0.0,-7.926931456343215,0.0,-9.415595599897165,0.0,-8.36617703587622,0.0,-11.053135689456,30.564166150031003,30.564166150031003,0.0,-2.1325982728297017,0.0,-3.234270779146717,0.0,-5.796891991685639,0.0,-1.0830324909747253,False
2.28107,1.818587,153.608058,28.0,64.682343,55.52003,7270.525147,49.0,0.791743,0.672982,55.907912,27.0,90.0,0.0,0.0,-1.1748962505968443,0.0,-1.7482674666331768,0.0,-2.378068896657521,0.0,-3.2344561756326407,0.0,-8.975276682397942,0.0,-7.59988934879275,0.0,-10.523781368169834,30.564166150031003,30.564166150031003,0.0,-2.086835614277194,0.0,-3.119702229270071,0.0,-6.028973219413068,0.0,-13.718411552346566,False
2.209952,1.733179,146.358573,31.0,65.745765,56.844035,7409.14963,49.0,0.80079,0.684009,58.10366,27.0,90.0,0.0,0.0,-1.2510237139842575,0.0,-1.9009331923746111,0.0,-2.6249211630667726,10.842969666499084,10.842969666499084,0.0,-8.421338116271967,0.0,-6.766750719533661,0.0,-9.639834156805316,30.564166150031003,30.564166150031003,0.0,-2.062401314706577,0.0,-3.066475037380888,0.0,-5.7943055416607345,0.0,-13.718411552346566,False
